,iso_a3,model,adj_r2,coef_sm_dt
272,SLE,Satellite,0.0024834936780448458,1.5338094047027209
273,SLE,Survey,-0.006120736250402603,5.320520039402872
274,SLV,Satellite,0.28794703754066914,1.6388107282030462
275,SLV,Survey,0.08109438488508522,2.85095479394419
276,SOM,Satellite,0.6044305731426469,12.64940542846219
277,SOM,Survey,0.024717131587000202,2.088193006628052
278,SRB,Satellite,0.43042319594449885,4.038447039624232
279,SRB,Survey,0.08984883268483239,1.5559840059627652
280,SSD,Satellite,0.3499082850835546,2.3500041564168224
281,SSD,Survey,0.17259188233644773,-2.460166404235029
282,SUR,Satellite,0.11175057905134785,1.1216362821883294
283,SUR,Survey,0.2605504222139415,7.080221537415594
284,SVK,Satellite,0.17139653642322886,1.0093690836751923
285,SVK,Survey,0.04534131984865561,1.7532792128401413
286,SVN,Satellite,0.1717474106827793,1.7734955778175445
287,SVN,Survey,0.026251598879986515,1.2708813280727398
288,SWE,Satellite,0.16202386338334712,-1.1631949383660412
289,SWE,Survey,0.032975505468934796,1.1832287153624148
290,SWZ,Satellite,0.35774151906287965,7.443556672219433
291,SWZ,Survey,0.09415144973341583,1.2118974011768369
292,SYR,Satellite,0.29664900668891153,7.724169766904144
293,SYR,Survey,0.10385559542034638,1.6016304238593955
294,TCD,Satellite,0.4654835226834193,3.5357252031678894
295,TCD,Survey,0.049663742752761454,2.088524888912962
296,TGO,Satellite,0.17803743324780189,2.5367675475684797
297,TGO,Survey,0.0828444385721213,4.978736134802973
298,THA,Satellite,0.2688889734647,0.39052878966528115
299,THA,Survey,0.06879002125695168,-1.2298713891943451
300,TJK,Satellite,0.3843004954326753,6.519713255188494
301,TJK,Survey,0.09555221781383959,12.07642715753663
302,TKM,Satellite,0.5913342384783729,18.762489062141054
303,TKM,Survey,0.06051496873573514,5.65546414209946
304,TLS,Satellite,0.18147244995571346,2.840519469765436
305,TLS,Survey,0.020347360732296132,-1.6042862098660746
306,TTO,Satellite,-0.009760148656004275,-0.24983055456586314
307,TTO,Survey,0.10541185259971592,3.5847022490473393
308,TUN,Satellite,0.19882337810757783,9.928965082593887
309,TUN,Survey,0.026201825795886625,2.11277954936268
310,TUR,Satellite,0.04700062078604748,1.1904415715651768
311,TUR,Survey,0.0674335694159989,-0.5542491432570107
312,TZA,Satellite,0.6359523474868183,5.603071743067119
313,TZA,Survey,0.0588320295943716,3.7342249637516898
314,UGA,Satellite,0.5689282919190516,5.799013990996254
315,UGA,Survey,0.03327655921006736,-0.11313004065690764
316,UKR,Satellite,0.15779833141393937,2.7888268058588563
317,UKR,Survey,0.06335160228404373,1.9901720489041936
